context,prefix,namespace,status
bioportal,ABD,http://brd.bsvgateway.org/api/,canonical
bioportal,ACESO,http://www.semanticweb.org/cbmi/ontologies/2018/10/aceso#,canonical
bioportal,ACGT-MO,http://www.ifomis.org/acgt/1.0#,canonical
bioportal,AD-DROP,http://www.semanticweb.org/AD-DROP#,canonical
bioportal,ADALAB-META,http://rdf.adalab-project.org/ontology/adalab-meta/,canonical
bioportal,ADAR,http://purl.org/autism-ontology/1.0/autism-core.owl#,canonical
bioportal,ADAR,http://purl.org/autism-ontology/1.0/CA_ADOS1-2001.owl#,prefix_alias
bioportal,ADAR,http://purl.org/autism-ontology/1.0/Interests_and_behaviors_phenotype#,prefix_alias
bioportal,ADAR,http://purl.org/autism-ontology/1.0/assessment-result.owl#,prefix_alias
bioportal,ADAR,http://purl.org/autism-ontology/1.0/autism-merged.owl#,prefix_alias
bioportal,ADAR,http://purl.org/autism-ontology/1.0/autism-rules.owl#,prefix_alias
bioportal,ADAR,http://purl.org/autism-ontology/1.0/ca_adi-2003.owl#,prefix_alias
bioportal,ADAR,http://purl.org/autism-ontology/1.0/ca_ados4_2001.owl#,prefix_alias
bioportal,ADAR,http://purl.org/autism-ontology/1.0/ca_vinelandsurvey-2005.owl#,prefix_alias
bioportal,ADCAD,https://purl.dataone.org/odo/ADCAD_,canonical
bioportal,ADHER_INTCARE_EN,http://www.semanticweb.org/parracarlos/ontologies/2019/3/untitled-ontology-31#,canonical
bioportal,ADMO,http://www.semanticweb.org/ADMO#,canonical
bioportal,ADO,http://scai.fraunhofer.de/AlzheimerOntology#,canonical
bioportal,AGROCYMAC,http://www.semanticweb.org/yali/ontologies/2019/0/cultivos#,canonical
bioportal,AGROMOP,http://www.semanticweb.org/vera/ontologies/2020/1/untitled-ontology-5#,canonical
bioportal,AHOL,http://opendata.inra.fr/AHOL/AHOL_,canonical
bioportal,AHSO,https://w3id.org/ahso#,canonical
bioportal,AIRBUS,http://protege.stanford.edu/thesauri/aero/,canonical
bioportal,AISM,OBO:AISM_,canonical
bioportal,AMINO-ACID,http://www.co-ode.org/ontologies/amino-acid/2006/05/18/amino-acid.owl#,canonical
bioportal,AO,http://childhealthservicemodels.eu/asthma#,canonical
bioportal,APAOCUEMPLOY,http://www.semanticweb.org/ontologies/2015/0/ocupationalemploymentcluster.owl#,canonical
bioportal,APATREATMENT,http://www.semanticweb.org/ontologies/2015/0/treatmentcluster.owl#,canonical
bioportal,araport,OBO:Araport_,canonical
bioportal,ARCRC,http://purl.dataone.org/odo/ARCRC_,canonical
bioportal,ASDPTO,http://cbmi.med.harvard.edu/asdphenotype#,canonical
bioportal,ASPECT,http://purl.org/aspect/,canonical
bioportal,ATC,http://purl.bioontology.org/ontology/ATC/,canonical
bioportal,ATOL,http://opendata.inra.fr/ATOL/ATOL_,canonical
bioportal,AURA,http://www.projecthalo.com/aura#,canonical
bioportal,BAO,http://www.bioassayontology.org/bao#BAO_,canonical
bioportal,BCI-O,https://w3id.org/BCI-ontology#,canonical
bioportal,BCTT,http://purl.bioontology.org/ontology/BCTT#,canonical
bioportal,BFO,http://www.ifomis.org/bfo/1.1/snap#,canonical
bioportal,BHN,http://chu-rouen.fr/cismef/BHN#,canonical
bioportal,BIBFRAME,http://id.loc.gov/ontologies/bibframe/,canonical
bioportal,BIBLIOTEK-O,http://bibliotek-o.org/1.1/ontology/,canonical
bioportal,BIBLIOTEK-O,http://bibliotek-o.org/ontology/,prefix_alias
bioportal,BIM,http://cbakerlab.unbsj.ca/unbvps/BIM#,canonical
bioportal,BIM,http://cbakerlab.unbsj.ca:8080/ontologies/BIM.owl#,prefix_alias
bioportal,BIM,http://cbakerlab.unbsj.ca:8080/sebi/BIM.owl#,prefix_alias
bioportal,BIN,http://purl.bioontology.org/ontology/BIN/,canonical
bioportal,BIRNLEX,http://bioontology.org/projects/ontologies/birnlex#,canonical
bioportal,BNO,http://www.owl-ontologies.com/Ontology1361987617.owl#,canonical
bioportal,BOF,http://www.owl-ontologies.com/BiodiversityOntologyFull.owl#,canonical
bioportal,BP,http://www.biopax.org/release/biopax-level3.owl#,canonical
bioportal,BRCT,http://www.semanticweb.org/latitude_user/ontologies/2014/8/untitled-ontology-7#,canonical
bioportal,BRCT,http://www.semanticweb.org/ontologies/2009/9/Ontology1255357986125.owl#,prefix_alias
bioportal,BRIDG,http://www.bridgmodel.org/owl#,canonical
bioportal,BRO,http://bioontology.org/ontologies/BiomedicalResourceOntology.owl#,canonical
bioportal,BRSO,http://purl.jp/bio/10/brso/,canonical
bioportal,BRSO,http://purl.org/brso/BiologicalResourceStatus#,prefix_alias
bioportal,BRSO,http://purl.org/brso/BiologicalResourceType#,prefix_alias
bioportal,BSAO,OBO:BSA_,canonical
bioportal,BT,http://purl.org/biotop/biotop.owl#,canonical
bioportal,CABRO,http://www.semanticweb.org/dimitrios/ontologies/2013/2/untitled-ontology-2#,canonical
bioportal,CARELEX,http://www.CareLex.org/2012/carelex.owl#,canonical
bioportal,CARRE,file:/Users/allanthird/Work/CARRE/CARREOntology/carre-ontology.xml#,canonical
bioportal,CARRE,file:/Users/allanthird/Work/CARRE/CARREOntology/carre-sensors.xml#,prefix_alias
