context,prefix,namespace,status
go,AspGD_LOCUS,http://identifiers.org/aspgd.locus/,canonical
go,BFO,http://purl.obolibrary.org/obo/BFO_,canonical
go,BTO,http://purl.obolibrary.org/obo/BTO_,canonical
go,CARO,http://purl.obolibrary.org/obo/CARO_,canonical
go,CAS,http://identifiers.org/cas/,canonical
go,CGD,http://identifiers.org/cgd/,canonical
go,CHEBI,http://purl.obolibrary.org/obo/CHEBI_,canonical
go,CL,http://purl.obolibrary.org/obo/CL_,canonical
go,dbSNP,http://identifiers.org/dbsnp/,canonical
go,DDANAT,http://purl.obolibrary.org/obo/DDANAT_,canonical
go,dictyBase,http://identifiers.org/dictybase.gene/,canonical
go,ECO,http://purl.obolibrary.org/obo/ECO_,canonical
go,EMAPA,http://purl.obolibrary.org/obo/EMAPA_,canonical
go,ENSEMBL,http://identifiers.org/ensembl/,canonical
go,FB,http://identifiers.org/flybase/,canonical
go,FBbt,http://purl.obolibrary.org/obo/FBbt_,canonical
go,FMA,http://purl.obolibrary.org/obo/FMA_,canonical
go,FYPO,http://purl.obolibrary.org/obo/FYPO_,canonical
go,GeneDB,http://identifiers.org/genedb/,canonical
go,GO,http://purl.obolibrary.org/obo/GO_,canonical
go,gomodel,http://model.geneontology.org/,canonical
go,GR_GENE,http://identifiers.org/gramene.gene/,canonical
go,GR_PROTEIN,http://identifiers.org/gramene.protein/,canonical
go,GR_QTL,http://identifiers.org/gramene.qtl/,canonical
go,HGNC,http://identifiers.org/hgnc/,canonical
go,IAO,http://purl.obolibrary.org/obo/IAO_,canonical
go,IntAct,http://identifiers.org/intact/,canonical
go,InterPro,https://registry.identifiers.org/registry/interpro/,canonical
go,KEGG_ENZYME,http://identifiers.org/kegg.enzyme/,canonical
go,KEGG_PATHWAY,http://identifiers.org/kegg.pathway/,canonical
go,MA,http://purl.obolibrary.org/obo/MA_,canonical
go,MaizeGDB_Locus,https://identifiers.org/maizegdb.locus/,canonical
go,MetaCyc,https://identifiers.org/metacyc.reaction/,canonical
go,MGI,https://identifiers.org/MGI/,canonical
go,NCBIGene,https://identifiers.org/ncbigene/,canonical
go,PANTHER,https://identifiers.org/panther.family/,canonical
go,PATO,http://purl.obolibrary.org/obo/PATO_,canonical
go,PlasmoDB,https://identifiers.org/plasmodb/,canonical
go,PO,http://purl.obolibrary.org/obo/PO_,canonical
go,PomBase,https://identifiers.org/pombase/,canonical
go,PR,http://purl.obolibrary.org/obo/PR_,canonical
go,Reactome,https://identifiers.org/reactome/,canonical
go,RGD,https://identifiers.org/rgd/,canonical
go,RO,http://purl.obolibrary.org/obo/RO_,canonical
go,SGD,https://identifiers.org/sgd/,canonical
go,SGN,https://identifiers.org/sgn/,canonical
go,SO,http://purl.obolibrary.org/obo/SO_,canonical
go,TAIR,https://identifiers.org/tair.locus/,canonical
go,taxon,http://purl.obolibrary.org/obo/NCBITaxon_,canonical
go,TGD,https://identifiers.org/tgd/,canonical
go,TriTrypDB,https://identifiers.org/tritrypdb/,canonical
go,UBERON,http://purl.obolibrary.org/obo/UBERON_,canonical
go,UniProtKB,https://identifiers.org/uniprot/,canonical
go,WB,https://identifiers.org/wb/,canonical
go,WBls,http://purl.obolibrary.org/obo/WBls_,canonical
go,WBPhenotype,http://purl.obolibrary.org/obo/WBPhenotype_,canonical
go,Xenbase,https://identifiers.org/xenbase/,canonical
go,ZFIN,https://identifiers.org/zfin/,canonical
