context,prefix,namespace,status
linkml,bibo,http://purl.org/ontology/bibo/,canonical
linkml,biolink,https://w3id.org/biolink/vocab/,canonical
linkml,dcterms,http://purl.org/dc/terms/,canonical
linkml,foaf,http://xmlns.com/foaf/0.1/,canonical
linkml,linkml,https://w3id.org/linkml/,canonical
linkml,NCIThesaurus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#,canonical
linkml,oboInOwl,http://www.geneontology.org/formats/oboInOwl#,canonical
linkml,oslc,http://open-services.net/ns/core#,canonical
linkml,owl,http://www.w3.org/2002/07/owl#,canonical
linkml,pav,http://purl.org/pav/,canonical
linkml,prov,http://www.w3.org/ns/prov#,canonical
linkml,qb,http://purl.org/linked-data/cube#,canonical
linkml,qudt,http://qudt.org/schema/qudt/,canonical
linkml,rdf,http://www.w3.org/1999/02/22-rdf-syntax-ns#,canonical
linkml,rdfs,http://www.w3.org/2000/01/rdf-schema#,canonical
linkml,schema,http://schema.org/,canonical
linkml,sh,http://www.w3.org/ns/shacl#,canonical
linkml,shex,http://www.w3.org/ns/shex#,canonical
linkml,skos,http://www.w3.org/2004/02/skos/core#,canonical
linkml,skosxl,http://www.w3.org/2008/05/skos-xl#,canonical
linkml,swrl,http://www.w3.org/2003/11/swrl#,canonical
linkml,vann,https://vocab.org/vann/,canonical
linkml,xsd,http://www.w3.org/2001/XMLSchema#,canonical
