context,prefix,namespace,status
obo,AAO,http://purl.obolibrary.org/obo/AAO_,canonical
obo,ADO,http://purl.obolibrary.org/obo/ADO_,canonical
obo,ADW,http://purl.obolibrary.org/obo/ADW_,canonical
obo,AEO,http://purl.obolibrary.org/obo/AEO_,canonical
obo,AERO,http://purl.obolibrary.org/obo/AERO_,canonical
obo,AfPO,http://purl.obolibrary.org/obo/AfPO_,canonical
obo,AGRO,http://purl.obolibrary.org/obo/AGRO_,canonical
obo,AISM,http://purl.obolibrary.org/obo/AISM_,canonical
obo,AMPHX,http://purl.obolibrary.org/obo/AMPHX_,canonical
obo,APO,http://purl.obolibrary.org/obo/APO_,canonical
obo,APOLLO_SV,http://purl.obolibrary.org/obo/APOLLO_SV_,canonical
obo,ARO,http://purl.obolibrary.org/obo/ARO_,canonical
obo,ATO,http://purl.obolibrary.org/obo/ATO_,canonical
obo,BCGO,http://purl.obolibrary.org/obo/BCGO_,canonical
obo,BCO,http://purl.obolibrary.org/obo/BCO_,canonical
obo,BFO,http://purl.obolibrary.org/obo/BFO_,canonical
obo,BILA,http://purl.obolibrary.org/obo/BILA_,canonical
obo,BOOTSTREP,http://purl.obolibrary.org/obo/BOOTSTREP_,canonical
obo,BSPO,http://purl.obolibrary.org/obo/BSPO_,canonical
obo,BTO,http://purl.obolibrary.org/obo/BTO_,canonical
obo,CARO,http://purl.obolibrary.org/obo/CARO_,canonical
obo,CDAO,http://purl.obolibrary.org/obo/CDAO_,canonical
obo,CDNO,http://purl.obolibrary.org/obo/CDNO_,canonical
obo,CEPH,http://purl.obolibrary.org/obo/CEPH_,canonical
obo,CHEBI,http://purl.obolibrary.org/obo/CHEBI_,canonical
obo,CHEMINF,http://purl.obolibrary.org/obo/CHEMINF_,canonical
obo,CHIRO,http://purl.obolibrary.org/obo/CHIRO_,canonical
obo,CHMO,http://purl.obolibrary.org/obo/CHMO_,canonical
obo,CIDO,http://purl.obolibrary.org/obo/CIDO_,canonical
obo,CIO,http://purl.obolibrary.org/obo/CIO_,canonical
obo,CL,http://purl.obolibrary.org/obo/CL_,canonical
obo,CLAO,http://purl.obolibrary.org/obo/CLAO_,canonical
obo,CLO,http://purl.obolibrary.org/obo/CLO_,canonical
obo,CLYH,http://purl.obolibrary.org/obo/CLYH_,canonical
obo,CMF,http://purl.obolibrary.org/obo/CMF_,canonical
obo,CMO,http://purl.obolibrary.org/obo/CMO_,canonical
obo,COB,http://purl.obolibrary.org/obo/COB_,canonical
obo,COLAO,http://purl.obolibrary.org/obo/COLAO_,canonical
obo,CRO,http://purl.obolibrary.org/obo/CRO_,canonical
obo,CTENO,http://purl.obolibrary.org/obo/CTENO_,canonical
obo,CTO,http://purl.obolibrary.org/obo/CTO_,canonical
obo,CVDO,http://purl.obolibrary.org/obo/CVDO_,canonical
obo,DC_CL,http://purl.obolibrary.org/obo/DC_CL_,canonical
obo,DDANAT,http://purl.obolibrary.org/obo/DDANAT_,canonical
obo,DDPHENO,http://purl.obolibrary.org/obo/DDPHENO_,canonical
obo,DIDEO,http://purl.obolibrary.org/obo/DIDEO_,canonical
obo,DINTO,http://purl.obolibrary.org/obo/DINTO_,canonical
obo,DISDRIV,http://purl.obolibrary.org/obo/DISDRIV_,canonical
obo,DOID,http://purl.obolibrary.org/obo/DOID_,canonical
obo,DRON,http://purl.obolibrary.org/obo/DRON_,canonical
obo,DUO,http://purl.obolibrary.org/obo/DUO_,canonical
obo,ECAO,http://purl.obolibrary.org/obo/ECAO_,canonical
obo,ECO,http://purl.obolibrary.org/obo/ECO_,canonical
obo,ECOCORE,http://purl.obolibrary.org/obo/ECOCORE_,canonical
obo,ECTO,http://purl.obolibrary.org/obo/ECTO_,canonical
obo,EHDA,http://purl.obolibrary.org/obo/EHDA_,canonical
obo,EHDAA,http://purl.obolibrary.org/obo/EHDAA_,canonical
obo,EHDAA2,http://purl.obolibrary.org/obo/EHDAA2_,canonical
obo,EMAP,http://purl.obolibrary.org/obo/EMAP_,canonical
obo,EMAPA,http://purl.obolibrary.org/obo/EMAPA_,canonical
obo,ENVO,http://purl.obolibrary.org/obo/ENVO_,canonical
obo,EO,http://purl.obolibrary.org/obo/EO_,canonical
obo,EPIO,http://purl.obolibrary.org/obo/EPIO_,canonical
obo,EPO,http://purl.obolibrary.org/obo/EPO_,canonical
obo,ERO,http://purl.obolibrary.org/obo/ERO_,canonical
obo,EUPATH,http://purl.obolibrary.org/obo/EUPATH_,canonical
obo,EV,http://purl.obolibrary.org/obo/EV_,canonical
obo,ExO,http://purl.obolibrary.org/obo/ExO_,canonical
obo,FAO,http://purl.obolibrary.org/obo/FAO_,canonical
obo,FBbi,http://purl.obolibrary.org/obo/FBbi_,canonical
obo,FBbt,http://purl.obolibrary.org/obo/FBbt_,canonical
obo,FBcv,http://purl.obolibrary.org/obo/FBcv_,canonical
obo,FBdv,http://purl.obolibrary.org/obo/FBdv_,canonical
obo,FBSP,http://purl.obolibrary.org/obo/FBSP_,canonical
