context,prefix,namespace,status
prefixcc,madsrdf,http://www.loc.gov/mads/rdf/v1#,canonical
prefixcc,bflc,http://id.loc.gov/ontologies/bflc/,canonical
prefixcc,foaf,http://xmlns.com/foaf/0.1/,canonical
prefixcc,rdf,http://www.w3.org/1999/02/22-rdf-syntax-ns#,canonical
prefixcc,rdfs,http://www.w3.org/2000/01/rdf-schema#,canonical
prefixcc,yago,http://yago-knowledge.org/resource/,canonical
prefixcc,dbo,http://dbpedia.org/ontology/,canonical
prefixcc,dbp,http://dbpedia.org/property/,canonical
prefixcc,ex,http://example.org/,canonical
prefixcc,owl,http://www.w3.org/2002/07/owl#,canonical
prefixcc,gr,http://purl.org/goodrelations/v1#,canonical
prefixcc,skos,http://www.w3.org/2004/02/skos/core#,canonical
prefixcc,spacerel,http://data.ordnancesurvey.co.uk/ontology/spatialrelations/,canonical
prefixcc,geo,http://www.opengis.net/ont/geosparql#,canonical
prefixcc,xsd,http://www.w3.org/2001/XMLSchema#,canonical
prefixcc,dcat,http://www.w3.org/ns/dcat#,canonical
prefixcc,schema,http://schema.org/,canonical
prefixcc,bf,http://id.loc.gov/ontologies/bibframe/,canonical
prefixcc,org,http://www.w3.org/ns/org#,canonical
prefixcc,dct,http://purl.org/dc/terms/,canonical
prefixcc,qb,http://purl.org/linked-data/cube#,canonical
prefixcc,search,http://sindice.com/vocab/search#,canonical
prefixcc,dcterms,http://purl.org/dc/terms/,namespace_alias
prefixcc,sd,http://www.w3.org/ns/sparql-service-description#,canonical
prefixcc,prov,http://www.w3.org/ns/prov#,canonical
prefixcc,frbr,http://purl.org/vocab/frbr/core#,canonical
prefixcc,sioc,http://rdfs.org/sioc/ns#,canonical
prefixcc,stat,http://www.w3.org/ns/posix/stat#,canonical
prefixcc,xtypes,http://purl.org/xtypes/,canonical
prefixcc,dbpedia,http://dbpedia.org/resource/,canonical
prefixcc,void,http://rdfs.org/ns/void#,canonical
prefixcc,vcard,http://www.w3.org/2006/vcard/ns#,canonical
prefixcc,commerce,http://search.yahoo.com/searchmonkey/commerce/,canonical
prefixcc,onto,http://www.ontotext.com/,canonical
prefixcc,rss,http://purl.org/rss/1.0/,canonical
prefixcc,bibo,http://purl.org/ontology/bibo/,canonical
prefixcc,sio,http://semanticscience.org/resource/,canonical
prefixcc,gldp,http://www.w3.org/ns/people#,canonical
prefixcc,dbr,http://dbpedia.org/resource/,namespace_alias
prefixcc,geonames,http://www.geonames.org/ontology#,canonical
prefixcc,event,http://purl.org/NET/c4dm/event.owl#,canonical
prefixcc,pto,http://www.productontology.org/id/,canonical
prefixcc,wd,http://www.wikidata.org/entity/,canonical
prefixcc,dcmit,http://purl.org/dc/dcmitype/,canonical
prefixcc,oo,http://purl.org/openorg/,canonical
prefixcc,cc,http://creativecommons.org/ns#,canonical
prefixcc,gen,http://purl.org/gen/0.1#,canonical
prefixcc,doap,http://usefulinc.com/ns/doap#,canonical
prefixcc,md,http://www.w3.org/ns/md#,canonical
prefixcc,content,http://purl.org/rss/1.0/modules/content/,canonical
prefixcc,rr,http://www.w3.org/ns/r2rml#,canonical
prefixcc,sc,http://purl.org/science/owl/sciencecommons/,canonical
prefixcc,dbpprop,http://dbpedia.org/property/,namespace_alias
prefixcc,vann,http://purl.org/vocab/vann/,canonical
prefixcc,swrc,http://swrc.ontoware.org/ontology#,canonical
prefixcc,prog,http://purl.org/prog/,canonical
prefixcc,nie,http://www.semanticdesktop.org/ontologies/2007/01/19/nie#,canonical
prefixcc,wot,http://xmlns.com/wot/0.1/,canonical
prefixcc,tl,http://purl.org/NET/c4dm/timeline.owl#,canonical
prefixcc,akt,http://www.aktors.org/ontology/portal#,canonical
prefixcc,fn,http://www.w3.org/2005/xpath-functions#,canonical
prefixcc,ov,http://open.vocab.org/terms/,canonical
